"year","pop","r","rpcap"
1869,1341040002,0.00389118849033239,2.90161999979803e-12
1870,1348154278,0.00529102166389566,3.92464108169055e-12
1871,1353185947,0.00372531736102916,2.75299737577689e-12
1872,1360191149,0.00516346774973567,3.7961339136281e-12
1873,1367778454,0.00556261664789604,4.06689886920535e-12
1874,1375441175,0.0055866769463558,4.06173455317404e-12
1875,1383207445,0.00563050361778209,4.07061401970844e-12
1876,1391057502,0.00565921287324987,4.06828104885191e-12
1877,1398962396,0.00566656543045474,4.05054878291006e-12
1878,1406939006,0.00568561067903014,4.04112094041278e-12
1879,1415456507,0.00603567205091946,4.26411692699185e-12
1880,1425998659,0.00742028274634181,5.20356923164667e-12
1881,1434253944,0.00577243276637705,4.02469366776031e-12
1882,1444559322,0.00715949321297815,4.9561780564787e-12
1883,1455464560,0.00752082730783334,5.16730363247961e-12
1884,1466507494,0.00755858466231897,5.15413981397559e-12
1885,1477744363,0.0076331265836226,5.16539042526031e-12
1886,1489095893,0.00765230643636325,5.13889432664176e-12
1887,1500609770,0.00770238626888964,5.13283761233251e-12
1888,1512259811,0.00773355683041795,5.11390752710941e-12
1889,1523683199,0.0075254653158479,4.93899605953973e-12
1890,1536461994,0.00835180586118913,5.43573866050938e-12
1891,1545852788,0.00609335757056775,3.9417450470502e-12
1892,1556562451,0.00690410839048129,4.43548434953304e-12
1893,1567026235,0.00669987261040684,4.27553314728444e-12
1894,1577633469,0.0067462143618636,4.27616077778811e-12
1895,1588397643,0.00679981661259272,4.28092842026001e-12
1896,1599255683,0.00681258649181293,4.25984823079283e-12
1897,1610265238,0.00686058664441315,4.26053204311496e-12
1898,1621405678,0.00689456595033448,4.2522152499422e-12
1899,1633219852,0.00725996019012483,4.44518242980849e-12
1900,1647405028,0.00864790393503162,5.24940970074034e-12
1901,1658785643,0.00688445469836686,4.15029797696824e-12
1902,1672564382,0.00827221244792135,4.94582602436487e-12
1903,1687012805,0.00860138718346846,5.09859033551821e-12
1904,1701647404,0.00863744906980169,5.07593350390801e-12
1905,1716473051,0.00867479081951227,5.05384620775632e-12
1906,1731494784,0.00871343861732984,5.03232160896295e-12
1907,1746736854,0.00876432000646587,5.01753883900469e-12
1908,1762200207,0.0088137534719997,5.00156193206014e-12
1909,1777067748,0.0084015274581461,4.72774741852222e-12
1910,1793323600,0.00910598460612627,5.07771414268249e-12
1911,1804920684,0.00644599045551738,3.57134278124178e-12
1912,1817990952,0.00721537040813457,3.9688703621967e-12
1913,1830461187,0.00683593101183152,3.73454026798303e-12
1914,1843131589,0.00689812563071764,3.7426115812275e-12
1915,1855949027,0.00693009459824517,3.73398972570229e-12
1916,1868851504,0.00692790311750281,3.70703777302512e-12
1917,1881853176,0.00693295003856972,3.68410783954259e-12
1918,1895037042,0.00698136233081704,3.6840242043232e-12
1919,1909044309,0.00736436948280896,3.85762103482374e-12
1920,1926217432,0.00895544499086368,4.64923888761883e-12
1921,1939587826,0.00691728963092714,3.56637092592637e-12
1922,1955971631,0.00841157825121938,4.30046025101035e-12
1923,1973057174,0.00869713689768054,4.40794976054786e-12
1924,1990416385,0.00875965071610972,4.40091368927799e-12
1925,2008052088,0.00882128618957839,4.39295685719204e-12
1926,2025945381,0.0088713046984295,4.3788469233315e-12
1927,2044097070,0.00891971499858365,4.36364550856856e-12
1928,2062543972,0.00898399732791439,4.35578462804981e-12
1929,2081683468,0.00923676721672579,4.43716220968028e-12
1930,2104067387,0.010695396430664,5.08320051760015e-12
1931,2122176586,0.00856993110169168,4.03827426908181e-12
1932,2143517525,0.0100059293969482,4.66799514361245e-12
1933,2165540428,0.0102217677247681,4.72019251758253e-12
1934,2187836793,0.010243339285097,4.68194854290351e-12
1935,2210412972,0.0102660733180068,4.64441416515846e-12
1936,2233367401,0.0103311285606578,4.62580789709387e-12
