"x.R.Phase1","R.fit","R.upr","R.lwr","x.G.Phase1","G.fit","G.upr","G.lwr"
1.37480449444444,0.00570347262788086,0.00598432061767025,0.00542262463809147,1.37480449444444,0.0058668460628905,0.0061431547721814,0.0055905373535996
1.39980093979798,0.0058012645773593,0.00607726014073966,0.00552526901397893,1.39980093979798,0.00597728816006088,0.00624974980747831,0.00570482651264344
1.42479738515152,0.00589905652683774,0.00617108081256021,0.00562703224111526,1.42479738515152,0.00608577542686535,0.00635567057289745,0.00581588028083325
1.44979383050505,0.00599684847631617,0.00626582166535233,0.00572787528728002,1.44979383050505,0.00619237586263739,0.00646095332154495,0.00592379840372983
1.47479027585859,0.00609464042579461,0.00636151426152606,0.00582776659006316,1.47479027585859,0.00629715397921647,0.00656561672439261,0.00602869123404034
1.49978672121212,0.00619243237527305,0.00645818115768988,0.00592668359285622,1.49978672121212,0.00640017103542991,0.00666966351150007,0.00613067855935976
1.52478316656566,0.00629022432475149,0.0065558347347401,0.00602461391476287,1.52478316656566,0.00650148525219351,0.00677308288533492,0.00622988761905209
1.54977961191919,0.00638801627422993,0.00665447652982706,0.00612155601863279,1.54977961191919,0.00660115201012163,0.00687585342867906,0.0063264505915642
1.57477605727273,0.00648580822370836,0.00675409715212648,0.00621751929529025,1.57477605727273,0.00669922403132673,0.00697794619138237,0.00642050187127109
1.59977250262626,0.0065836001731868,0.00685467679296591,0.00631252355340769,1.59977250262626,0.00679575154690179,0.00707932766457779,0.00651217542922578
1.6247689479798,0.00668139212266524,0.00695618626716303,0.00640659797816745,1.6247689479798,0.00689078245141817,0.00717996242015315,0.00660160248268319
1.64976539333333,0.00677918407214368,0.00705858846239186,0.0064997796818955,1.64976539333333,0.00698436244562823,0.00727981528181739,0.00668890960943906
1.67476183868687,0.00687697602162212,0.00716184003849669,0.00659211200474754,1.67476183868687,0.00707653516843723,0.00737885297894757,0.0067742173579269
1.6997582840404,0.00697476797110056,0.00726589321272374,0.00668364272947737,1.69975828404041,0.00716734231909836,0.00747704530086707,0.00685763933732965
1.72475472939394,0.00707255992057899,0.00737069748595893,0.00677442235519905,1.72475472939394,0.00725682377048743,0.00757436581194151,0.00693928172903335
1.74975117474747,0.00717035187005743,0.00747620120036808,0.00686450253974678,1.74975117474748,0.00734501767422756,0.00767079220853958,0.00701924313991553
1.77474762010101,0.00726814381953587,0.00758235286013233,0.00695393477893941,1.77474762010101,0.00743196055835716,0.00776630640278423,0.00709761471393009
1.79974406545455,0.00736593576901431,0.00768910218576256,0.00704276935226606,1.79974406545454,0.00751768741816764,0.00786089441122933,0.00717448042510595
1.82474051080808,0.00746372771849275,0.00779640090348898,0.00713105453349652,1.82474051080808,0.00760223180077559,0.00795454611440264,0.00724991748714853
1.84973695616162,0.00756151966797119,0.00790420329246679,0.00721883604347558,1.84973695616162,0.00768562588394122,0.00804725493933695,0.0073239968285455
1.87473340151515,0.00765931161744962,0.00801246652448,0.00730615671041925,1.87473340151515,0.00776790054959659,0.00813901750407349,0.00739678359511969
1.89972984686869,0.00775710356692806,0.00812115083529043,0.0073930562985657,1.89972984686869,0.00784908545250388,0.00822983325181949,0.00746833765318827
1.92472629222222,0.0078548955164065,0.00823021956602875,0.00747957146678425,1.92472629222222,0.00792920908442585,0.00831970409335808,0.00753871407549361
